Reads	Human_reads_removed
Sample_297-CAD13Q_7B3_1.fastq.gz	37130
Sample_297-CAD13Q_7B3_2.fastq.gz	37130
Sample_298-CAC12A_7B5_1.fastq.gz	66452
Sample_298-CAC12A_7B5_2.fastq.gz	66452
Sample_299-CAL10W_7B6_1.fastq.gz	30898
Sample_299-CAL10W_7B6_2.fastq.gz	30898
Sample_29-CAH100_1F5_1.fastq.gz	78845
Sample_29-CAH100_1F5_2.fastq.gz	78845
Sample_2-CAB12C_1A2_1.fastq.gz	189291
Sample_2-CAB12C_1A2_2.fastq.gz	189291
Sample_300-CAB15H_7B7_1.fastq.gz	6821384
Sample_300-CAB15H_7B7_2.fastq.gz	6821384
Sample_301-CAD13R_7B8_1.fastq.gz	34768
Sample_301-CAD13R_7B8_2.fastq.gz	34768
Sample_302-CAC12C_7C3_1.fastq.gz	58409
Sample_302-CAC12C_7C3_2.fastq.gz	58409
Sample_303-CAG120_7C8_1.fastq.gz	2370190
Sample_303-CAG120_7C8_2.fastq.gz	2370190
Sample_304-CAE12H_7C9_1.fastq.gz	159256
Sample_304-CAE12H_7C9_2.fastq.gz	159256
Sample_305-CAC133_7D1_1.fastq.gz	41331
Sample_305-CAC133_7D1_2.fastq.gz	41331
Sample_306-CAI10L_7D2_1.fastq.gz	139944
Sample_306-CAI10L_7D2_2.fastq.gz	139944
Sample_307-NC_7_D3_1.fastq.gz	93589
Sample_307-NC_7_D3_2.fastq.gz	93589
Sample_308-CAC11S_7D4_1.fastq.gz	11980
Sample_308-CAC11S_7D4_2.fastq.gz	11980
Sample_309-CAC12Z_7D6_1.fastq.gz	3735685
Sample_309-CAC12Z_7D6_2.fastq.gz	3735685
Sample_30-CAD10I_1F6_1.fastq.gz	488176
Sample_30-CAD10I_1F6_2.fastq.gz	488176
Sample_310-CAG11X_7D7_1.fastq.gz	1856693
Sample_310-CAG11X_7D7_2.fastq.gz	1856693
Sample_311-CAB164_7D9_1.fastq.gz	1791390
Sample_311-CAB164_7D9_2.fastq.gz	1791390
Sample_312-CAD13V_7E1_1.fastq.gz	2273872
Sample_312-CAD13V_7E1_2.fastq.gz	2273872
Sample_313-CAM10P_7E2_1.fastq.gz	50623
Sample_313-CAM10P_7E2_2.fastq.gz	50623
Sample_314-CAG11U_7E3_1.fastq.gz	39046
Sample_314-CAG11U_7E3_2.fastq.gz	39046
Sample_315-CAB165_7E4_1.fastq.gz	17746884
